trial,hits,false_alarms,misses,correct_rejections
1,1,1,1,12
2,0,5,1,9
3,0,2,1,12
4,0,2,2,11
5,0,0,3,12
6,1,2,1,11
7,0,0,0,15
8,1,2,0,12
9,0,1,0,14
10,1,0,2,12
11,0,0,0,15
12,0,2,0,13
13,0,0,0,15
14,2,3,0,10
15,1,0,2,12
16,0,0,0,15
17,1,2,0,12
18,0,1,1,13
19,0,0,0,15
20,0,2,0,13
21,1,1,1,12
22,0,0,1,14
23,0,1,0,14
24,2,0,0,13
25,0,0,1,14
26,0,1,0,14
27,2,0,0,13
28,0,0,1,14
29,0,1,0,14
30,0,0,0,15
31,1,0,0,14
32,0,0,0,15
33,1,0,0,14
34,0,0,0,15
35,0,0,0,15
36,1,0,0,14
37,0,2,0,13
38,0,0,3,12
39,1,0,1,13
40,0,1,2,12
41,1,0,2,12
42,2,2,0,11
43,2,0,0,13
44,0,2,1,12
45,0,1,1,13
46,1,4,0,10
47,1,0,2,12
48,0,0,0,15
49,0,0,0,15
50,0,0,0,15
51,0,0,0,15
52,0,0,2,13
53,0,0,0,15
54,1,0,1,13
55,0,0,0,15
56,0,0,0,15
57,0,1,3,11
58,1,2,1,11
59,0,0,0,15
60,3,2,0,10
61,0,2,0,13
62,0,1,0,14
63,0,1,1,13
64,0,0,0,15
65,0,1,2,12
66,0,0,0,15
67,0,1,0,14
68,0,0,0,15
69,0,0,0,15
70,1,1,1,12
71,0,0,0,15
72,0,0,0,15
73,0,0,0,15
74,0,0,1,14
75,1,0,0,14
76,0,1,1,13
77,1,0,1,13
78,2,0,0,13
79,0,0,0,15
80,3,1,0,11
81,0,0,2,13
82,0,0,0,15
83,0,0,0,15
84,0,0,0,15
85,0,0,0,15
86,0,2,3,10
87,0,1,0,14
88,0,0,2,13
89,2,0,0,13
90,0,0,0,15
91,0,0,0,15
92,1,1,1,12
93,0,1,0,14
94,0,0,0,15
95,1,0,2,12
96,2,0,0,13
97,3,0,1,11
98,1,0,0,14
99,0,0,0,15
100,0,0,0,15
101,0,2,0,13
102,0,1,1,13
103,1,0,0,14
104,1,1,0,13
105,0,0,0,15
106,0,0,0,15
107,0,1,0,14
108,2,0,0,13
109,0,0,0,15
110,1,0,0,14
111,0,0,0,15
112,1,0,0,14
113,0,0,0,15
114,0,0,0,15
115,0,0,0,15
116,0,0,0,15
117,1,0,2,12
118,0,0,0,15
119,0,0,0,15
120,0,0,2,13
121,0,2,1,12
122,0,0,2,13
123,0,0,0,15
124,1,2,0,12
125,1,0,0,14
126,0,1,2,12
127,2,0,1,12
128,0,1,1,13
129,0,0,0,15
130,2,0,0,13
131,0,1,0,14
132,0,0,1,14
133,0,0,0,15
134,0,0,0,15
135,0,1,1,13
136,0,0,0,15
137,0,0,0,15
138,0,2,1,12
139,0,0,0,15
140,0,0,0,15
141,1,0,1,13
142,1,1,0,13
143,0,0,0,15
144,0,1,1,13
145,0,0,0,15
146,0,2,1,12
147,0,0,2,13
148,0,1,1,13
149,1,5,0,9
150,0,1,1,13
151,2,1,0,12
152,0,0,1,14
153,1,0,0,14
154,0,0,0,15
155,0,0,3,12
156,0,0,0,15
157,0,0,0,15
158,0,0,0,15
159,0,0,2,13
160,0,1,1,13
161,0,0,0,15
162,1,0,1,13
163,0,0,0,15
164,0,0,0,15
165,0,0,3,12
166,1,0,2,12
167,0,0,0,15
168,0,0,0,15
169,0,0,0,15
170,0,1,2,12
171,2,0,1,12
172,0,0,0,15
173,0,0,3,12
174,0,0,0,15
175,0,0,3,12
176,0,1,3,11
177,0,0,0,15
178,0,0,0,15
179,0,0,0,15
180,0,1,1,13
181,0,0,0,15
182,0,0,3,12
183,1,1,0,13
184,0,0,0,15
185,0,0,0,15
186,0,0,0,15
187,0,0,0,15
188,0,0,0,15
189,0,0,0,15
190,0,1,0,14
191,0,0,0,15
192,0,0,0,15
193,0,0,0,15
194,1,1,1,12
195,0,0,0,15
196,1,0,1,13
197,0,0,0,15
198,0,0,0,15
199,0,0,0,15
200,0,4,1,10
201,0,0,0,15
202,0,0,0,15
203,1,0,0,14
204,0,0,0,15
205,0,0,0,15
206,0,0,3,12
207,0,0,0,15
208,0,0,0,15
209,0,0,0,15
210,0,0,0,15
211,1,0,2,12
212,0,0,0,15
213,0,0,3,12
214,0,0,0,15
215,0,0,0,15
216,0,0,1,14
217,0,0,0,15
218,0,0,0,15
219,1,0,0,14
220,2,1,0,12
221,0,0,0,15
222,0,0,0,15
223,0,0,0,15
224,0,0,0,15
225,1,1,1,12
226,0,0,0,15
227,1,0,2,12
228,2,0,1,12
229,0,0,2,13
230,1,0,2,12
231,0,0,0,15
232,0,0,0,15
233,1,0,1,13
234,0,0,0,15
235,0,0,2,13
236,1,1,2,11
237,0,0,0,15
238,0,0,0,15
239,0,0,3,12
240,0,0,0,15
241,0,0,0,15
242,0,0,0,15
243,0,1,2,12
244,0,0,3,12
245,0,1,0,14
246,0,0,3,12
247,0,0,0,15
248,2,0,0,13
249,0,0,0,15
250,0,1,1,13
251,1,0,1,13
252,0,0,1,14
253,0,0,0,15
254,0,0,0,15
255,0,0,0,15
256,0,1,0,14
257,0,1,1,13
258,0,0,0,15
259,0,1,1,13
260,1,0,2,12
261,0,0,0,15
262,1,1,0,13
263,0,1,1,13
264,0,0,0,15
265,0,0,1,14
266,0,0,0,15
267,0,0,0,15
268,0,0,0,15
269,0,0,0,15
270,0,1,1,13
271,0,1,0,14
272,0,0,0,15
273,0,0,1,14
274,0,0,0,15
275,0,0,0,15
276,0,0,0,15
277,1,0,2,12
278,0,0,0,15
279,1,0,0,14
280,0,0,2,13
281,0,0,1,14
282,0,0,0,15
283,0,0,0,15
284,2,0,0,13
285,0,0,3,12
286,0,0,0,15
287,0,0,0,15
288,0,0,0,15
289,0,0,2,13
290,0,1,2,12
291,0,0,2,13
292,0,0,0,15
293,0,0,0,15
294,0,0,0,15
295,0,0,0,15
296,0,0,0,15
297,0,0,2,13
298,0,0,0,15
299,0,0,0,15
300,0,0,0,15
301,0,0,0,15
302,0,0,0,15
303,0,0,0,15
304,0,1,1,13
305,1,1,0,13
306,0,0,1,14
307,0,0,0,15
308,0,0,0,15
309,0,0,0,15
310,0,0,0,15
311,0,0,0,15
312,0,0,0,15
313,0,0,0,15
314,0,0,0,15
315,1,0,0,14
316,0,0,0,15
317,0,0,0,15
318,0,0,0,15
319,1,0,2,12
320,0,0,0,15
321,0,0,0,15
322,0,0,0,15
323,0,0,0,15
324,0,0,0,15
325,0,0,0,15
326,0,0,0,15
327,0,0,0,15
328,0,0,0,15
329,0,0,0,15
330,0,1,1,13
331,0,0,0,15
332,0,0,1,14
333,2,1,0,12
334,0,0,0,15
335,1,0,0,14
336,1,0,1,13
337,0,0,0,15
338,1,0,0,14
339,0,0,3,12
340,0,0,0,15
341,0,0,0,15
342,0,0,0,15
343,0,0,0,15
344,0,0,0,15
345,0,1,1,13
346,0,0,0,15
347,0,0,0,15
348,0,0,0,15
349,1,0,0,14
350,0,0,0,15
