trial,hits,false_alarms,misses,correct_rejections
318,0,1,0,14
319,0,0,0,15
320,0,1,3,11
321,0,1,0,14
322,0,0,0,15
323,0,1,1,13
324,0,0,0,15
325,0,1,3,11
326,0,1,0,14
327,1,0,1,13
328,0,0,0,15
329,0,0,0,15
330,0,0,0,15
331,1,1,0,13
332,0,0,0,15
333,0,1,0,14
334,0,0,3,12
335,1,0,0,14
336,0,0,0,15
337,0,0,0,15
338,0,1,1,13
339,0,0,0,15
340,0,0,0,15
341,0,0,0,15
342,0,1,1,13
343,0,0,0,15
344,0,1,1,13
345,0,0,0,15
346,0,1,2,12
347,0,1,0,14
348,0,0,0,15
349,0,0,0,15
350,1,0,0,14
