trial,hits,false_alarms,misses,correct_rejections
318,1,2,0,12
319,0,0,0,15
320,0,0,0,15
321,0,0,0,15
322,0,0,0,15
323,1,0,1,13
324,0,0,0,15
325,0,2,0,13
326,1,0,2,12
327,2,1,0,12
328,0,0,0,15
329,0,0,0,15
330,0,0,0,15
331,0,0,0,15
332,0,0,0,15
333,0,0,0,15
334,0,0,0,15
335,0,0,0,15
336,0,0,0,15
337,0,0,0,15
338,0,0,0,15
339,0,0,0,15
340,0,0,0,15
341,0,2,0,13
342,0,0,0,15
343,0,0,3,12
344,0,0,0,15
345,0,0,0,15
346,0,0,0,15
347,0,0,0,15
348,0,0,0,15
349,0,0,0,15
350,2,0,0,13
