trial,hits,false_alarms,misses,correct_rejections
318,0,0,0,15
319,0,0,0,15
320,0,0,0,15
321,0,0,0,15
322,1,0,0,14
323,0,1,0,14
324,0,0,0,15
325,0,0,0,15
326,0,0,0,15
327,0,0,0,15
328,2,0,0,13
329,0,0,0,15
330,0,1,0,14
331,0,1,0,14
332,0,0,0,15
333,0,0,0,15
334,0,0,0,15
335,0,1,3,11
336,1,2,0,12
337,0,0,0,15
338,1,1,0,13
339,0,0,0,15
340,1,0,0,14
341,0,0,0,15
342,0,0,0,15
343,0,0,0,15
344,1,0,1,13
345,0,0,0,15
346,0,1,1,13
347,0,2,1,12
348,0,0,0,15
349,0,0,0,15
350,0,0,0,15
